className;stack;average;repetitions
CuckooHashTable;1024;170;100
CuckooHashTable;2048;160;100
CuckooHashTable;4096;154;100
CuckooHashTable;8192;159;100
CuckooHashTable;12288;155;100
CuckooHashTable;16384;172;100
CuckooHashTable;24576;154;100
CuckooHashTable;32768;168;100
HashTableArray;1024;272;100
HashTableArray;2048;307;100
HashTableArray;4096;457;100
HashTableArray;8192;508;100
HashTableArray;12288;633;100
HashTableArray;16384;589;100
HashTableArray;24576;679;100
HashTableArray;32768;644;100
OpenAddressing;1024;308;100
OpenAddressing;2048;330;100
OpenAddressing;4096;400;100
OpenAddressing;8192;468;100
OpenAddressing;12288;528;100
OpenAddressing;16384;600;100
OpenAddressing;24576;560;100
OpenAddressing;32768;528;100
