className;stack;average;repetitions
CuckooHashTable;1024;167;100
CuckooHashTable;2048;188;100
CuckooHashTable;4096;163;100
CuckooHashTable;8192;162;100
CuckooHashTable;12288;165;100
CuckooHashTable;16384;163;100
CuckooHashTable;24576;164;100
CuckooHashTable;32768;178;100
HashTableArray;1024;421;100
HashTableArray;2048;461;100
HashTableArray;4096;509;100
HashTableArray;8192;578;100
HashTableArray;12288;722;100
HashTableArray;16384;715;100
HashTableArray;24576;729;100
HashTableArray;32768;658;100
OpenAddressing;1024;381;100
OpenAddressing;2048;386;100
OpenAddressing;4096;504;100
OpenAddressing;8192;623;100
OpenAddressing;12288;569;100
OpenAddressing;16384;611;100
OpenAddressing;24576;592;100
OpenAddressing;32768;618;100
