className;stack;average;repetitions
CuckooHashTable;1024;382;100
CuckooHashTable;2048;169;100
CuckooHashTable;4096;162;100
CuckooHashTable;8192;163;100
CuckooHashTable;12288;169;100
CuckooHashTable;16384;162;100
CuckooHashTable;24576;165;100
CuckooHashTable;32768;175;100
HashTableArray;1024;639;100
HashTableArray;2048;388;100
HashTableArray;4096;443;100
HashTableArray;8192;533;100
HashTableArray;12288;647;100
HashTableArray;16384;599;100
HashTableArray;24576;635;100
HashTableArray;32768;635;100
OpenAddressing;1024;300;100
OpenAddressing;2048;305;100
OpenAddressing;4096;427;100
OpenAddressing;8192;450;100
OpenAddressing;12288;510;100
OpenAddressing;16384;591;100
OpenAddressing;24576;537;100
OpenAddressing;32768;541;100
