className;stack;average;repetitions
CuckooHashTable;1024;165;100
CuckooHashTable;2048;153;100
CuckooHashTable;4096;155;100
CuckooHashTable;8192;153;100
CuckooHashTable;12288;153;100
CuckooHashTable;16384;153;100
CuckooHashTable;24576;154;100
CuckooHashTable;32768;167;100
HashTableArray;1024;380;100
HashTableArray;2048;404;100
HashTableArray;4096;409;100
HashTableArray;8192;582;100
HashTableArray;12288;656;100
HashTableArray;16384;640;100
HashTableArray;24576;899;100
HashTableArray;32768;658;100
OpenAddressing;1024;361;100
OpenAddressing;2048;369;100
OpenAddressing;4096;476;100
OpenAddressing;8192;556;100
OpenAddressing;12288;565;100
OpenAddressing;16384;664;100
OpenAddressing;24576;615;100
OpenAddressing;32768;650;100
