className;stack;average;repetitions
CuckooHashTable;1024;167;100
CuckooHashTable;2048;158;100
CuckooHashTable;4096;154;100
CuckooHashTable;8192;153;100
CuckooHashTable;12288;153;100
CuckooHashTable;16384;152;100
CuckooHashTable;24576;156;100
CuckooHashTable;32768;166;100
HashTableArray;1024;268;100
HashTableArray;2048;291;100
HashTableArray;4096;401;100
HashTableArray;8192;492;100
HashTableArray;12288;567;100
HashTableArray;16384;590;100
HashTableArray;24576;624;100
HashTableArray;32768;635;100
OpenAddressing;1024;291;100
OpenAddressing;2048;299;100
OpenAddressing;4096;374;100
OpenAddressing;8192;450;100
OpenAddressing;12288;511;100
OpenAddressing;16384;548;100
OpenAddressing;24576;542;100
OpenAddressing;32768;578;100
