className;stack;average;repetitions
CuckooHashTable;1024;316;100
CuckooHashTable;2048;167;100
CuckooHashTable;4096;156;100
CuckooHashTable;8192;157;100
CuckooHashTable;12288;155;100
CuckooHashTable;16384;153;100
CuckooHashTable;24576;155;100
CuckooHashTable;32768;167;100
HashTableArray;1024;323;100
HashTableArray;2048;402;100
HashTableArray;4096;451;100
HashTableArray;8192;509;100
HashTableArray;12288;582;100
HashTableArray;16384;571;100
HashTableArray;24576;619;100
HashTableArray;32768;646;100
OpenAddressing;1024;329;100
OpenAddressing;2048;332;100
OpenAddressing;4096;434;100
OpenAddressing;8192;478;100
OpenAddressing;12288;540;100
OpenAddressing;16384;561;100
OpenAddressing;24576;554;100
OpenAddressing;32768;552;100
