className;stack;average;repetitions
CuckooHashTable;1024;160;100
CuckooHashTable;2048;294;100
CuckooHashTable;4096;149;100
CuckooHashTable;8192;149;100
CuckooHashTable;12288;157;100
CuckooHashTable;16384;156;100
CuckooHashTable;24576;151;100
CuckooHashTable;32768;162;100
HashTableArray;1024;377;100
HashTableArray;2048;411;100
HashTableArray;4096;401;100
HashTableArray;8192;636;100
HashTableArray;12288;628;100
HashTableArray;16384;646;100
HashTableArray;24576;616;100
HashTableArray;32768;648;100
OpenAddressing;1024;351;100
OpenAddressing;2048;347;100
OpenAddressing;4096;426;100
OpenAddressing;8192;508;100
OpenAddressing;12288;534;100
OpenAddressing;16384;601;100
OpenAddressing;24576;601;100
OpenAddressing;32768;614;100
