className;stack;average;repetitions
CuckooHashTable;1024;173;100
CuckooHashTable;2048;154;100
CuckooHashTable;4096;153;100
CuckooHashTable;8192;154;100
CuckooHashTable;12288;153;100
CuckooHashTable;16384;151;100
CuckooHashTable;24576;150;100
CuckooHashTable;32768;172;100
HashTableArray;1024;390;100
HashTableArray;2048;422;100
HashTableArray;4096;390;100
HashTableArray;8192;837;100
HashTableArray;12288;660;100
HashTableArray;16384;3070;100
HashTableArray;24576;626;100
HashTableArray;32768;646;100
OpenAddressing;1024;364;100
OpenAddressing;2048;361;100
OpenAddressing;4096;420;100
OpenAddressing;8192;535;100
OpenAddressing;12288;561;100
OpenAddressing;16384;598;100
OpenAddressing;24576;596;100
OpenAddressing;32768;615;100
